CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC102861,01/03/2019 10:55:00 AM,004XX E 62ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,N,N,313,20,14,1180126,1863999,41.782081122,-87.615152161,"(41.782081122, -87.615152161)"
JC103374,01/03/2019 04:35:00 PM,044XX N ROCKWELL ST,0560,ASSAULT,SIMPLE,ALLEY,N,N,1911,47,08A,1158237,1929581,41.962518249,-87.693611289,"(41.962518249, -87.693611289)"
JC102771,01/03/2019 09:39:00 AM,004XX N MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,DEPARTMENT STORE,N,N,1834,42,03,1177361,1903270,41.889906681,-87.624100509,"(41.889906681, -87.624100509)"
JC102812,01/02/2019 09:48:00 PM,030XX N GREENVIEW AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,1932,32,06,1165775,1920432,41.937255198,-87.666158907,"(41.937255198, -87.666158907)"
JC100169,01/01/2019 01:00:00 AM,037XX N FREMONT ST,0810,THEFT,OVER $500,APARTMENT,N,Y,1923,46,06,1169599,1924910,41.949460491,-87.651974364,"(41.949460491, -87.651974364)"
JC102291,01/02/2019 06:40:00 PM,055XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522,29,08B,1139546,1898123,41.876556376,-87.763100646,"(41.876556376, -87.763100646)"
JC105453,01/03/2019 10:00:00 PM,047XX N LAVERGNE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1623,45,06,1142179,1931118,41.967049704,-87.752612578,"(41.967049704, -87.752612578)"
JC101803,01/02/2019 12:40:00 PM,079XX S DAMEN AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,GAS STATION,Y,N,611,17,15,1164404,1852184,41.750005014,-87.673125651,"(41.750005014, -87.673125651)"
JC100598,01/01/2019 11:30:00 AM,103XX S PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,N,N,2232,34,14,1172139,1836315,41.706291886,-87.645246088,"(41.706291886, -87.645246088)"
JC101562,01/01/2019 11:05:00 PM,0000X N HOMAN BLVD,0890,THEFT,FROM BUILDING,OTHER,N,N,1123,28,06,1153708,1900256,41.882139587,-87.71104513,"(41.882139587, -87.71104513)"
JC100924,01/01/2019 12:00:00 PM,070XX S SANGAMON ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,N,Y,733,6,26,1171189,1858205,41.766381851,-87.648086699,"(41.766381851, -87.648086699)"
JC102415,01/02/2019 09:40:00 PM,009XX E 84TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,632,8,14,1184212,1849165,41.741280553,-87.600635206,"(41.741280553, -87.600635206)"
JC100397,01/01/2019 06:00:00 AM,050XX S WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,923,14,08B,1159224,1871149,41.802155196,-87.691588948,"(41.802155196, -87.691588948)"
JC100277,01/01/2019 05:20:00 AM,002XX E HURON ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,N,N,1834,42,08A,1178046,1905133,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
JC102803,01/02/2019 07:00:00 AM,002XX S CANAL ST,0820,THEFT,$500 AND UNDER,OTHER COMMERCIAL TRANSPORTATION,N,N,121,42,06,1173178,1899203,41.878840427,-87.639582928,"(41.878840427, -87.639582928)"
JC101311,01/02/2019 12:30:00 AM,082XX S LAFLIN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,614,21,26,1167767,1850181,41.744437029,-87.660859489,"(41.744437029, -87.660859489)"
JC100309,01/01/2019 03:30:00 AM,034XX S INDIANA AVE,0560,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,N,N,211,3,08A,1178163,1882297,41.832337226,-87.621793581,"(41.832337226, -87.621793581)"
JC102747,01/03/2019 09:20:00 AM,014XX W ARGYLE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,2033,47,26,1165439,1933296,41.972561751,-87.667026174,"(41.972561751, -87.667026174)"
JC103994,01/03/2019 05:00:00 PM,066XX S PAULINA ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,725,15,26,1166141,1860687,41.773301656,-87.666518973,"(41.773301656, -87.666518973)"
JC100526,01/01/2019 09:31:00 AM,016XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,N,Y,1231,27,08B,1165553,1898694,41.877609409,-87.667594837,"(41.877609409, -87.667594837)"
JC103841,01/03/2019 11:05:00 PM,011XX W 106TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2232,34,14,1170501,1834506,41.701363469,-87.651296826,"(41.701363469, -87.651296826)"
JC103222,01/03/2019 01:50:00 PM,0000X S CLARK ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,112,42,06,1175543,1900196,41.881512491,-87.630869346,"(41.881512491, -87.630869346)"
JC101530,01/01/2019 09:00:00 PM,080XX S SOUTH SHORE DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,422,7,07,1198547,1852314,41.749574708,-87.548008383,"(41.749574708, -87.548008383)"
JC103288,01/03/2019 03:40:00 PM,078XX S EVANS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,624,6,08B,1182582,1853281,41.752613231,-87.606479974,"(41.752613231, -87.606479974)"
JC101320,01/02/2019 01:43:00 AM,006XX N ST LOUIS AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,Y,1121,27,26,1152935,1904020,41.892483732,-87.713783811,"(41.892483732, -87.713783811)"
JC100433,01/01/2019 02:25:00 AM,033XX W NORTH AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,N,N,1422,26,05,1153683,1910432,41.910064005,-87.710865831,"(41.910064005, -87.710865831)"
JC103936,01/03/2019 06:00:00 PM,071XX S DORCHESTER AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,324,8,05,1186779,1857721,41.764698678,-87.590959498,"(41.764698678, -87.590959498)"
JC103893,01/03/2019 11:29:00 PM,103XX S SAWYER AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,Y,N,2211,19,26,1156499,1835863,41.705380181,-87.702531538,"(41.705380181, -87.702531538)"
JC100358,01/01/2019 05:19:00 AM,003XX E 76TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,Y,623,6,14,1179583,1854687,41.756540452,-87.617427096,"(41.756540452, -87.617427096)"
JC102775,01/03/2019 09:30:00 AM,067XX S CAMPBELL AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,Y,Y,832,17,04A,1160871,1859856,41.771131777,-87.685860576,"(41.771131777, -87.685860576)"
JC103403,01/03/2019 03:00:00 PM,044XX N MENARD AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,1622,38,26,1136881,1928878,41.960999819,-87.77214688,"(41.960999819, -87.77214688)"
JC100419,01/01/2019 07:30:00 AM,105XX S WENTWORTH AVE,0560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,512,34,08A,1176814,1835107,41.70287318,-87.628162756,"(41.70287318, -87.628162756)"
JC101344,01/02/2019 02:51:00 AM,003XX S KILBOURN AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,1131,28,08B,1146443,1898085,41.876323566,-87.737777754,"(41.876323566, -87.737777754)"
JC103791,01/03/2019 09:43:00 PM,002XX N KARLOV AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK),N,N,1114,28,26,1149028,1900850,41.883861425,-87.728214833,"(41.883861425, -87.728214833)"
JC103118,01/03/2019 01:28:00 PM,028XX W POLK ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,Y,N,1135,28,18,1157607,1896246,41.871057281,-87.696837157,"(41.871057281, -87.696837157)"
JC102482,01/02/2019 11:25:00 PM,006XX N LOREL AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,1524,37,03,1140560,1903813,41.892151905,-87.759237747,"(41.892151905, -87.759237747)"
JC102371,01/02/2019 05:30:00 PM,103XX S LONGWOOD DR,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2212,19,06,1165153,1836124,41.705918084,-87.670833925,"(41.705918084, -87.670833925)"
JC101003,01/01/2019 05:10:00 PM,023XX E 93RD ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS,Y,N,413,7,18,1193545,1843761,41.726228346,-87.566616616,"(41.726228346, -87.566616616)"
JC101052,01/01/2019 06:50:00 PM,030XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,N,N,1134,28,14,1156119,1894552,41.866438916,-87.70234588,"(41.866438916, -87.70234588)"
JC102239,01/02/2019 06:15:00 PM,034XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1121,27,06,1153483,1905125,41.895505083,-87.71174182,"(41.895505083, -87.71174182)"
JC102971,01/03/2019 11:55:00 AM,057XX S ARCHER AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,814,14,11,1141777,1869058,41.796756786,-87.755626766,"(41.796756786, -87.755626766)"
JC102417,01/02/2019 07:58:00 PM,013XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1424,1,14,1164565,1909105,41.906198962,-87.670927395,"(41.906198962, -87.670927395)"
JC101919,01/02/2019 02:00:00 PM,054XX W IOWA ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1524,37,06,1139910,1905468,41.896705336,-87.761584449,"(41.896705336, -87.761584449)"
JC104567,01/03/2019 09:00:00 PM,019XX N KENNETH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2533,36,14,1146412,1912558,41.916039654,-87.737522546,"(41.916039654, -87.737522546)"
JC102596,01/03/2019 03:14:00 AM,051XX N NEENAH AVE,0810,THEFT,OVER $500,STREET,Y,N,1613,45,06,1131906,1933730,41.974402145,-87.79032486,"(41.974402145, -87.79032486)"
JC102850,01/03/2019 10:55:00 AM,017XX W 119TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2234,34,06,1166736,1825769,41.677468647,-87.665331132,"(41.677468647, -87.665331132)"
JC100769,01/01/2019 02:00:00 PM,074XX S CHAPPEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,333,5,14,1191165,1856167,41.760329375,-87.574934094,"(41.760329375, -87.574934094)"
JC103526,01/03/2019 05:00:00 PM,007XX E 49TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,223,4,26,1182206,1872691,41.805884796,-87.60725726,"(41.805884796, -87.60725726)"
JC103693,01/03/2019 07:52:00 PM,037XX W CHICAGO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1112,27,18,1151351,1905082,41.895429205,-87.719573333,"(41.895429205, -87.719573333)"
JC101930,01/01/2019 08:30:00 PM,085XX S DREXEL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,632,8,07,1183715,1848531,41.739552385,-87.602475891,"(41.739552385, -87.602475891)"
JC103445,01/03/2019 02:40:00 PM,012XX S MILLARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1011,24,08B,1152235,1894185,41.86550928,-87.71661419,"(41.86550928, -87.71661419)"
JC100736,01/01/2019 12:15:00 PM,059XX S ARTESIAN AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,824,16,06,1161052,1865308,41.786089079,-87.685046427,"(41.786089079, -87.685046427)"
JC103458,01/03/2019 05:15:00 PM,0000X E ROOSEVELT RD,0860,THEFT,RETAIL THEFT,SIDEWALK,Y,N,123,4,06,1176576,1895067,41.867414944,-87.627231186,"(41.867414944, -87.627231186)"
JC101911,01/01/2019 10:00:00 PM,096XX S CARPENTER ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,2223,21,05,1171020,1840805,41.718637584,-87.649213171,"(41.718637584, -87.649213171)"
JC100970,01/01/2019 04:20:00 PM,006XX N TRUMBULL AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1121,27,18,1153265,1904075,41.892628112,-87.712570388,"(41.892628112, -87.712570388)"
JC106836,01/01/2019 12:50:00 AM,002XX N COLUMBUS DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,N,N,114,42,08B,1178301,1901977,41.886337253,-87.620687893,"(41.886337253, -87.620687893)"
JC102705,01/03/2019 08:20:00 AM,004XX N ST LOUIS AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,N,N,1123,27,26,1152972,1902764,41.889036409,-87.713681236,"(41.889036409, -87.713681236)"
JC101762,01/02/2019 12:00:00 PM,130XX S BALTIMORE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,433,10,08A,1199090,1819013,41.658180115,-87.547132679,"(41.658180115, -87.547132679)"
JC103482,01/03/2019 12:00:00 PM,015XX S KILBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1012,24,14,1146635,1892161,41.860063726,-87.73722383,"(41.860063726, -87.73722383)"
JC102407,01/02/2019 05:30:00 PM,037XX N PLAINFIELD AVE,0810,THEFT,OVER $500,STREET,N,N,1631,38,06,1120064,1923869,41.947540069,-87.834083706,"(41.947540069, -87.834083706)"
JC103250,01/03/2019 09:00:00 AM,022XX N MAPLEWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1431,1,07,1158936,1915099,41.922764377,-87.69144005,"(41.922764377, -87.69144005)"
JC100458,01/01/2019 12:10:00 AM,085XX S CREGIER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,412,8,14,1189679,1848544,41.739446992,-87.580624641,"(41.739446992, -87.580624641)"
JC107835,01/03/2019 08:00:00 AM,023XX N KEDZIE BLVD,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1414,32,06,1154647,1915447,41.923806334,-87.707189959,"(41.923806334, -87.707189959)"
JC101018,01/01/2019 04:00:00 AM,030XX S KOLIN AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1031,22,06,1147875,1884050,41.837782374,-87.732880255,"(41.837782374, -87.732880255)"
JC102336,01/02/2019 07:00:00 PM,046XX W FULTON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1113,28,05,1145351,1901384,41.885397137,-87.741703753,"(41.885397137, -87.741703753)"
JC104518,01/03/2019 04:00:00 PM,015XX N STATE PKWY,0810,THEFT,OVER $500,STREET,N,N,1824,2,06,1176009,1910551,41.909916655,-87.62884602,"(41.909916655, -87.62884602)"
JC102736,01/02/2019 09:32:00 PM,018XX N NAGLE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,2513,29,11,1133016,1911484,41.913337294,-87.786764616,"(41.913337294, -87.786764616)"
JC100683,01/01/2019 12:24:00 PM,052XX N NEENAH AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1613,45,05,1131913,1934516,41.976558883,-87.790280795,"(41.976558883, -87.790280795)"
JC100163,01/01/2019 02:00:00 AM,033XX W 62ND PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,823,23,07,1155247,1862990,41.779846282,-87.706392569,"(41.779846282, -87.706392569)"
JC102562,01/03/2019 02:59:00 AM,079XX S DR MARTIN LUTHER KING JR DR,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,N,N,624,6,15,1180279,1852366,41.75015545,-87.614947435,"(41.75015545, -87.614947435)"
JC101518,01/02/2019 08:25:00 AM,0000X N KEELER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1115,28,18,1148389,1899851,41.881132397,-87.730587089,"(41.881132397, -87.730587089)"
JC103529,01/03/2019 05:45:00 PM,093XX S PHILLIPS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,423,7,05,1194137,1843483,41.725450998,-87.564457208,"(41.725450998, -87.564457208)"
JC101896,01/01/2019 02:00:00 AM,069XX S JEFFERY BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,332,5,14,1190742,1859375,41.769142611,-87.576380906,"(41.769142611, -87.576380906)"
JC103933,01/03/2019 12:40:00 PM,005XX W 80TH ST,4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,RESIDENCE,N,Y,621,17,26,1173903,1851852,41.748888679,-87.638327041,"(41.748888679, -87.638327041)"
JC108263,01/01/2019 07:00:00 AM,002XX N LARAMIE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,N,N,1523,28,26,1141670,1901136,41.884785439,-87.755227373,"(41.884785439, -87.755227373)"
JC103456,01/03/2019 05:10:00 PM,020XX W LEE PL,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1221,1,03,1162754,1905081,41.895194984,-87.677692839,"(41.895194984, -87.677692839)"
JC103312,01/03/2019 10:00:00 AM,053XX W LELAND AVE,0890,THEFT,FROM BUILDING,OTHER,N,N,1623,45,06,1139956,1930569,41.965584255,-87.760799864,"(41.965584255, -87.760799864)"
JC100347,01/01/2019 05:30:00 AM,006XX W 59TH ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,711,20,08B,1173164,1865770,41.787097672,-87.640624257,"(41.787097672, -87.640624257)"
JC101587,01/02/2019 09:00:00 AM,119XX S MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,532,9,26,1178982,1825961,41.677726252,-87.620501252,"(41.677726252, -87.620501252)"
JC102678,01/02/2019 02:30:00 PM,060XX N KEDZIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,2413,50,05,1153940,1940291,41.991994035,-87.709122811,"(41.991994035, -87.709122811)"
JC102006,01/02/2019 04:04:00 PM,048XX N BROADWAY,0810,THEFT,OVER $500,STREET,N,N,2033,46,06,1167432,1932630,41.970691456,-87.659716829,"(41.970691456, -87.659716829)"
JC102213,01/02/2019 06:00:00 PM,016XX W 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,735,17,15,1166488,1857625,41.764891733,-87.665334127,"(41.764891733, -87.665334127)"
JC103291,01/03/2019 11:00:00 AM,002XX E OHIO ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1834,42,06,1177936,1904246,41.892571811,-87.621959165,"(41.892571811, -87.621959165)"
JC101212,01/01/2019 09:40:00 PM,012XX E 71ST ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,321,5,08B,1185453,1858150,41.765907195,-87.595806104,"(41.765907195, -87.595806104)"
JC106016,01/03/2019 10:00:00 AM,050XX W WABANSIA AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2533,37,06,1142582,1910837,41.911389195,-87.751636792,"(41.911389195, -87.751636792)"
JC106351,01/03/2019 04:00:00 PM,044XX S WALLACE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,925,11,07,1173033,1875649,41.814209562,-87.640812745,"(41.814209562, -87.640812745)"
JC101714,01/01/2019 07:00:00 PM,007XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,STREET,N,N,1524,37,08A,1138895,1904274,41.893447354,-87.765341462,"(41.893447354, -87.765341462)"
JC102218,01/02/2019 05:09:00 PM,082XX S HALSTED ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,GAS STATION,N,N,622,21,17,1172407,1850168,41.744300592,-87.643858375,"(41.744300592, -87.643858375)"
JC103758,01/03/2019 09:09:00 PM,071XX S TALMAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,831,18,03,1159942,1857214,41.763900885,-87.68933849,"(41.763900885, -87.68933849)"
JC103816,01/01/2019 03:20:00 PM,054XX S CARPENTER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,934,20,07,1170236,1868813,41.795512242,-87.651271379,"(41.795512242, -87.651271379)"
JC102621,01/03/2019 04:12:00 AM,012XX W PRATT BLVD,2021,NARCOTICS,POSS: BARBITUATES,STREET,Y,N,2431,49,18,1166661,1945317,42.005521507,-87.662186262,"(42.005521507, -87.662186262)"
JC104129,01/03/2019 07:00:00 PM,017XX N MASON AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2531,29,06,1136479,1910991,41.91192318,-87.774053886,"(41.91192318, -87.774053886)"
JC103441,01/03/2019 04:55:00 PM,053XX W WASHINGTON BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,1523,28,03,1140602,1900230,41.882318936,-87.759171542,"(41.882318936, -87.759171542)"
JC101566,01/01/2019 11:05:00 PM,0000X N HOMAN BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,N,N,1123,28,11,1153708,1900256,41.882139587,-87.71104513,"(41.882139587, -87.71104513)"
JC103695,01/03/2019 08:04:00 PM,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,833,18,06,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JC100405,01/01/2019 06:45:00 AM,003XX S PAULINA ST,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,1231,27,03,1165121,1898566,41.877267351,-87.66918466,"(41.877267351, -87.66918466)"
JC102093,01/02/2019 04:20:00 PM,026XX E 74TH PL,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,334,7,03,1195126,1856113,41.760084451,-87.560419001,"(41.760084451, -87.560419001)"
JC103091,01/03/2019 06:00:00 AM,035XX W WALNUT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1123,28,14,1152507,1901481,41.885524927,-87.715422837,"(41.885524927, -87.715422837)"
JC100449,01/01/2019 03:35:00 AM,037XX W POLK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1133,24,14,1151703,1896118,41.870824122,-87.718516377,"(41.870824122, -87.718516377)"
JC102569,01/03/2019 02:30:00 AM,056XX S KILPATRICK AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA GARAGE / OTHER PROPERTY,N,N,813,13,14,1146073,1866900,41.790754583,-87.739927261,"(41.790754583, -87.739927261)"
JC101673,01/02/2019 11:53:00 AM,034XX W 23RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1024,22,18,1153912,1888503,41.849884,-87.710609096,"(41.849884, -87.710609096)"
JC101372,01/02/2019 05:50:00 AM,061XX N HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2413,40,08B,1161210,1940856,41.993395889,-87.6823657,"(41.993395889, -87.6823657)"
JC103418,01/03/2019 04:47:00 PM,088XX S YALE AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,634,21,08B,1176042,1846198,41.733325713,-87.630658154,"(41.733325713, -87.630658154)"
JC103186,01/03/2019 02:00:00 PM,028XX S KEDZIE AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,1032,22,12,1155487,1885114,41.8405527,-87.704919592,"(41.8405527, -87.704919592)"
JB100805,01/01/2019 02:45:00 PM,031XX W 103RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2211,19,14,1157274,1836169,41.706204287,-87.699685293,"(41.706204287, -87.699685293)"
JC100539,01/01/2019 09:57:00 AM,040XX W NELSON ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),N,N,2523,31,15,1148980,1919976,41.936345973,-87.72789535,"(41.936345973, -87.72789535)"
JC100626,01/01/2019 11:30:00 AM,022XX E 81ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,414,8,14,1192725,1851707,41.748052888,-87.569361911,"(41.748052888, -87.569361911)"
JC101597,01/02/2019 11:05:00 AM,012XX E 44TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,222,4,14,1185154,1875805,41.814360986,-87.596347306,"(41.814360986, -87.596347306)"
JC108548,01/03/2019 08:00:00 AM,112XX S DR MARTIN LUTHER KING JR DR,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,531,9,05,1180909,1830584,41.690368459,-87.613306423,"(41.690368459, -87.613306423)"
JC102692,01/02/2019 02:30:00 PM,048XX N RUTHERFORD AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1613,45,26,1130573,1931822,41.969189482,-87.795270856,"(41.969189482, -87.795270856)"
JC102454,01/02/2019 10:02:00 PM,008XX N FAIRFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,1211,26,08B,1157905,1905520,41.896499938,-87.695490021,"(41.896499938, -87.695490021)"
JC102676,01/03/2019 08:00:00 AM,048XX W CHICAGO AVE,041A,BATTERY,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),N,N,1531,37,04B,1143907,1904871,41.894993069,-87.746918939,"(41.894993069, -87.746918939)"
JC102589,01/03/2019 04:22:00 AM,082XX S MARYLAND AVE,0460,BATTERY,SIMPLE,APARTMENT,N,Y,631,8,08B,1183336,1850615,41.745279932,-87.603799742,"(41.745279932, -87.603799742)"
JC103163,01/03/2019 04:00:00 AM,051XX S KILBOURN AVE,0810,THEFT,OVER $500,STREET,N,N,815,23,06,1147236,1870021,41.799296989,-87.735583181,"(41.799296989, -87.735583181)"
JC104185,01/03/2019 05:00:00 PM,014XX S BLUE ISLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,N,N,1232,25,11,1168627,1893531,41.863375747,-87.656457451,"(41.863375747, -87.656457451)"
JC101278,01/01/2019 07:37:00 AM,009XX W ARGYLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2024,48,08B,1169215,1933609,41.973339203,-87.653132052,"(41.973339203, -87.653132052)"
JC102874,01/02/2019 12:25:00 PM,008XX N MAPLEWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1211,26,11,1159246,1905568,41.896604191,-87.69056344,"(41.896604191, -87.69056344)"
JC100077,01/01/2019 12:48:00 AM,068XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,N,N,725,17,05,1166850,1859459,41.769916749,-87.663954978,"(41.769916749, -87.663954978)"
