CASE#,DATE  OF O,BLOCK,IUCR,PRIMARY DE,SECONDARY,LOCATION D,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINA,Y COORDINA,LATITUDE,LONGITUDE,LOCATION
JC147069,02/09/2019 05:00:00 PM,029XX W FULTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1222,27,14,1156762,1901866,41.886496266000002,-87.699787160000000,"(41.886496266, -87.69978716)"
JC146359,02/09/2019 05:00:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,111,42,06,1176352,1900927,41.883500187000003,-87.627876697999994,"(41.883500187, -87.627876698)"
JC146564,02/09/2019 05:00:00 PM,001XX W MADISON ST,0820,THEFT,$500 AND UNDER,RESTAURANT,N,N,122,42,06,1175354,1900361,41.881969503999997,-87.631558385000005,"(41.881969504, -87.631558385)"
JC146340,02/09/2019 05:05:00 PM,001XX W VAN BUREN ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,N,N,122,4,06,1175420,1898506,41.876877792000002,-87.631371748000007,"(41.876877792, -87.631371748)"
JC146321,02/09/2019 05:06:00 PM,024XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1125,27,08B,1160105,1898092,41.876071684999999,-87.687615093000005,"(41.876071685, -87.687615093)"
JC146358,02/09/2019 05:09:00 PM,001XX S PULASKI RD,1330,CRIMINAL TRESPASS,TO LAND,LIBRARY,N,N,1122,28,26,1149746,1899192,41.879297766999997,-87.725621359000002,"(41.879297767, -87.725621359)"
JC146370,02/09/2019 05:11:00 PM,021XX S CENTRAL PARK AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,ALLEY,Y,N,1024,24,26,1152704,1889395,41.852355707000001,-87.715019093999999,"(41.852355707, -87.715019094)"
JC146350,02/09/2019 05:12:00 PM,013XX S SAWYER AVE,2027,NARCOTICS,POSS: CRACK,STREET,Y,N,1022,24,18,1154906,1893711,41.864155500000003,-87.706821474999998,"(41.8641555, -87.706821475)"
JC146363,02/09/2019 05:15:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA STATION,Y,N,1114,28,11,1149512,1901446,41.885487535000003,-87.726422045000007,"(41.885487535, -87.726422045)"
JC146379,02/09/2019 05:20:00 PM,005XX N RIDGEWAY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1122,27,18,1151293,1903251,41.890405893000001,-87.719834438000007,"(41.890405893, -87.719834438)"
JC146365,02/09/2019 05:20:00 PM,0000X S STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112,42,06,1176392,1900186,41.881465939000002,-87.627752186999999,"(41.881465939, -87.627752187)"
JC146406,02/09/2019 05:40:00 PM,011XX S STATE ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,CTA PLATFORM,Y,N,123,4,26,1176517,1895340,41.868165404999999,-87.627439539999997,"(41.868165405, -87.62743954)"
JC146392,02/09/2019 05:45:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,Y,N,1114,28,11,1149512,1901446,41.885487535000003,-87.726422045000007,"(41.885487535, -87.726422045)"
JC146385,02/09/2019 05:45:00 PM,001XX N MORGAN ST,0460,BATTERY,SIMPLE,RESTAURANT,N,N,1224,27,08B,1169744,1901459,41.885106528999998,-87.652126080000002,"(41.885106529, -87.65212608)"
JC146380,02/09/2019 05:46:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1834,42,06,1177308,1904958,41.894539838000000,-87.624243915999998,"(41.894539838, -87.624243916)"
JC146466,02/09/2019 05:50:00 PM,030XX W LEXINGTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1134,28,18,1156235,1896546,41.871908318999999,-87.701866182000003,"(41.871908319, -87.701866182)"
JC146391,02/09/2019 05:54:00 PM,026XX W 21ST PL,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,1023,24,26,1159183,1889632,41.852875578000003,-87.691232686000006,"(41.852875578, -87.691232686)"
JC148215,02/09/2019 06:00:00 PM,004XX N ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,N,N,1215,27,05,1165656,1902975,41.889354615999999,-87.667094617999993,"(41.889354616, -87.667094618)"
JC147431,02/09/2019 06:00:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,06,1176338,1901346,41.884650262000001,-87.627915458999993,"(41.884650262, -87.627915459)"
JC146426,02/09/2019 06:20:00 PM,029XX W 21ST ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1022,24,06,1156993,1889917,41.853702306000002,-87.699262993000005,"(41.853702306, -87.699262993)"
JC146402,02/09/2019 06:20:00 PM,039XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1122,28,18,1150075,1899721,41.880743002000003,-87.724399532999996,"(41.880743002, -87.724399533)"
JC146544,02/09/2019 06:30:00 PM,0000X W HURON ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,N,N,1832,2,06,1175978,1905065,41.894863510000000,-87.629125336000001,"(41.89486351, -87.629125336)"
JC146899,02/09/2019 06:30:00 PM,005XX W MADISON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,N,N,121,42,02,1172605,1900295,41.881849637000002,-87.641654541999998,"(41.881849637, -87.641654542)"
JC146641,02/09/2019 06:30:00 PM,001XX S WACKER DR,0820,THEFT,$500 AND UNDER,STREET,N,N,122,42,06,1173953,1899697,41.880178768999997,-87.636722579999997,"(41.880178769, -87.63672258)"
JC146450,02/09/2019 06:40:00 PM,001XX S STATE ST,0810,THEFT,OVER $500,CTA PLATFORM,N,N,112,42,06,1176405,1899619,41.879909765000001,-87.627721570000006,"(41.879909765, -87.62772157)"
