CASE#,DATE  OF O,BLOCK,IUCR,PRIMARY DE,SECONDARY,LOCATION D,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINA,Y COORDINA,LATITUDE,LONGITUDE,LOCATION
JC147388,02/10/2019 12:01:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC146746,02/10/2019 12:26:00 AM,003XX E OHIO ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,N,N,1834,42,08B,1178513,1904263,41.892605312999997,-87.619839585999998,"(41.892605313, -87.619839586)"
JC147578,02/10/2019 12:30:00 AM,001XX W Hubbard St,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC147496,02/10/2019 12:30:00 AM,017XX S CARPENTER ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1235,25,05,1169473,1891798,41.858601909000001,-87.653402248999996,"(41.858601909, -87.653402249)"
JC147169,02/10/2019 12:45:00 AM,001XX W Hubbard St,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC146750,02/10/2019 12:46:00 AM,035XX W DOUGLAS BLVD,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,APARTMENT,Y,N,1021,24,08A,1152781,1893058,41.862405883999998,-87.714639602999995,"(41.862405884, -87.714639603)"
JC147555,02/10/2019 01:00:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1175301,1903292,41.890013523999997,-87.631664995999998,"(41.890013524, -87.631664996)"
JC147541,02/10/2019 01:15:00 AM,001XX W KINZIE ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,1175310,1902997,41.889203825999999,-87.631640804000000,"(41.889203826, -87.631640804)"
JC146766,02/10/2019 01:18:00 AM,001XX N STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA PLATFORM,N,Y,111,42,08B,1176330,1901649,41.885481890999998,-87.627935688999997,"(41.885481891, -87.627935689)"
JC146799,02/10/2019 01:49:00 AM,031XX W LEXINGTON ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,1134,24,04B,1155643,1896533,41.871884575999999,-87.704040016999997,"(41.871884576, -87.704040017)"
JC146789,02/10/2019 01:50:00 AM,016XX S LAWNDALE AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE,Y,Y,1014,24,08B,1151969,1891573,41.858346890000000,-87.717659458000000,"(41.85834689, -87.717659458)"
JC146798,02/10/2019 01:58:00 AM,0000X N WESTERN AVE,0620,BURGLARY,UNLAWFUL ENTRY,BANK,Y,N,1222,27,05,1160411,1900033,41.881391643000001,-87.686437850999994,"(41.881391643, -87.686437851)"
JC146803,02/10/2019 02:00:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1175290,1903292,41.890013771000000,-87.631705393000004,"(41.890013771, -87.631705393)"
JC147026,02/10/2019 02:00:00 AM,0000X E CERMAK RD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,131,3,04B,1177314,1889769,41.852860198000002,-87.624682441999994,"(41.852860198, -87.624682442)"
JC147250,02/10/2019 02:00:00 AM,018XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",N,N,1233,25,11,1166008,1891358,41.857469102000003,-87.666133552999995,"(41.857469102, -87.666133553)"
JC150111,02/10/2019 02:00:00 AM,007XX N LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1112,27,08B,1151587,1904673,41.894302232000001,-87.718717315999996,"(41.894302232, -87.718717316)"
JC147040,02/10/2019 02:00:00 AM,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1214,42,14,1170974,1902779,41.888701814000001,-87.647570607999995,"(41.888701814, -87.647570608)"
JC146880,02/10/2019 02:00:00 AM,003XX W ERIE ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,1174061,1904721,41.893962514999998,-87.636176148000004,"(41.893962515, -87.636176148)"
JC147010,02/10/2019 02:00:00 AM,003XX W HUBBARD ST,0810,THEFT,OVER $500,APARTMENT,N,N,1831,42,06,1173659,1903250,41.889934959999998,-87.637696348999995,"(41.88993496, -87.637696349)"
JC146820,02/10/2019 02:20:00 AM,005XX N ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,N,N,1215,1,14,1165636,1903651,41.891210037000000,-87.667148792000006,"(41.891210037, -87.667148792)"
JC146795,02/10/2019 02:23:00 AM,003XX W HUBBARD ST,0460,BATTERY,SIMPLE,STREET,N,N,1831,42,08B,1173688,1903250,41.889934314999998,-87.637589848999994,"(41.889934315, -87.637589849)"
JC146817,02/10/2019 02:30:00 AM,032XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1123,28,08B,1154669,1900797,41.883604970000000,-87.707501835000002,"(41.88360497, -87.707501835)"
JC146850,02/10/2019 03:00:00 AM,018XX S DESPLAINES ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1235,11,06,1172348,1891346,41.857298624999999,-87.642862550999993,"(41.857298625, -87.642862551)"
JC146868,02/10/2019 03:15:00 AM,011XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,1231,28,08B,1166546,1895280,41.868219920999998,-87.664046556000002,"(41.868219921, -87.664046556)"
JC146854,02/10/2019 03:20:00 AM,0000X E CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,131,3,14,1177314,1889769,41.852860198000002,-87.624682441999994,"(41.852860198, -87.624682442)"
JC146848,02/10/2019 03:32:00 AM,038XX W WILCOX ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1122,28,08B,1150771,1899061,41.878918310000003,-87.721861125999993,"(41.87891831, -87.721861126)"
JC147249,02/10/2019 04:00:00 AM,021XX W 22ND PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1034,25,08B,1162423,1889051,41.851214157000001,-87.679357078999999,"(41.851214157, -87.679357079)"
JC146889,02/10/2019 05:15:00 AM,022XX S SAWYER AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,1024,12,15,1155044,1888878,41.850890442000001,-87.706444415999997,"(41.850890442, -87.706444416)"
JC147099,02/10/2019 06:00:00 AM,001XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1232,25,07,1169799,1899608,41.880026057000002,-87.651978077999999,"(41.880026057, -87.651978078)"
JC146921,02/10/2019 06:00:00 AM,014XX S CANAL ST,0460,BATTERY,SIMPLE,OTHER,N,N,124,11,08B,1173363,1893128,41.862166105999997,-87.639084057999995,"(41.862166106, -87.639084058)"
JC146911,02/10/2019 06:25:00 AM,006XX N LAKE SHORE DR,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,Y,N,1834,42,26,1179792,1904743,41.893893173000002,-87.615127643999998,"(41.893893173, -87.615127644)"
JC146934,02/10/2019 08:00:00 AM,023XX W MADISON ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1223,27,06,1160808,1899960,41.881183104000002,-87.684982110000007,"(41.881183104, -87.68498211)"
JC147230,02/10/2019 08:00:00 AM,005XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,OTHER,N,N,123,42,06,1177364,1897937,41.875272572999997,-87.624251314000006,"(41.875272573, -87.624251314)"
JC146966,02/10/2019 08:40:00 AM,018XX S RIDGEWAY AVE,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,ALLEY,N,N,1014,24,20,1151660,1890745,41.856080833999997,-87.718815445000004,"(41.856080834, -87.718815445)"
JC146951,02/10/2019 08:48:00 AM,0000X N KEELER AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1115,28,18,1148389,1899826,41.881063793999999,-87.730587732999993,"(41.881063794, -87.730587733)"
JC146953,02/10/2019 08:50:00 AM,030XX W LEXINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1134,28,08B,1156194,1896545,41.871906402000000,-87.702016737999998,"(41.871906402, -87.702016738)"
JC146956,02/10/2019 08:55:00 AM,001XX S MICHIGAN AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,112,42,06,1177321,1899793,41.880366516000002,-87.624352900000005,"(41.880366516, -87.6243529)"
JC146997,02/10/2019 09:55:00 AM,018XX S KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1012,24,08B,1148680,1890680,41.855960469999999,-87.729755323999996,"(41.85596047, -87.729755324)"
JC147064,02/10/2019 10:15:00 AM,018XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1234,25,14,1164660,1891239,41.857171192999999,-87.671084859000004,"(41.857171193, -87.671084859)"
JC147036,02/10/2019 10:30:00 AM,039XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1132,24,08B,1150262,1895745,41.869828767999998,-87.723816556000003,"(41.869828768, -87.723816556)"
JC147041,02/10/2019 10:34:00 AM,039XX W ROOSEVELT RD,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,GROCERY FOOD STORE,Y,N,1132,24,18,1150448,1894424,41.866200165000002,-87.723168161999993,"(41.866200165, -87.723168162)"
JC147043,02/10/2019 10:45:00 AM,019XX S TROY ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,Y,N,1022,24,04B,1155664,1890352,41.854922821999999,-87.704129234999996,"(41.854922822, -87.704129235)"
JC147150,02/10/2019 10:45:00 AM,004XX N ARMOUR ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1215,27,14,1166101,1902914,41.889177734999997,-87.665462144000003,"(41.889177735, -87.665462144)"
JC147042,02/10/2019 10:45:00 AM,038XX W FILLMORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,24,08B,1150992,1895099,41.868041814999998,-87.721153404999995,"(41.868041815, -87.721153405)"
JC147059,02/10/2019 10:47:00 AM,037XX W FERDINAND ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,Y,N,1122,27,18,1151206,1903068,41.889905429000002,-87.720158748000003,"(41.889905429, -87.720158748)"
JC147057,02/10/2019 11:00:00 AM,002XX S PULASKI RD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1122,28,18,1149764,1898631,41.877757969999998,-87.725569852000007,"(41.87775797, -87.725569852)"
JC147733,02/10/2019 11:00:00 AM,019XX S BLUE ISLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1235,25,08B,1166873,1890733,41.855735557999999,-87.662976419000003,"(41.855735558, -87.662976419)"
JC147094,02/10/2019 11:10:00 AM,039XX W VAN BUREN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,Y,N,1132,28,18,1150184,1897734,41.875288329999997,-87.724051086000003,"(41.87528833, -87.724051086)"
JC147096,02/10/2019 11:30:00 AM,007XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,STREET,N,N,1232,11,06,1171334,1894932,41.867161199999998,-87.646479181000004,"(41.8671612, -87.646479181)"
JC147101,02/10/2019 11:48:00 AM,001XX N STATE ST,0460,BATTERY,SIMPLE,DRUG STORE,N,N,111,42,08B,1176338,1901346,41.884650262000001,-87.627915458999993,"(41.884650262, -87.627915459)"
JC147196,02/10/2019 12:00:00 PM,018XX S LOOMIS ST,0810,THEFT,OVER $500,STREET,N,N,1233,25,06,1167319,1891499,41.857827962999998,-87.661317382999997,"(41.857827963, -87.661317383)"
JC147183,02/10/2019 12:02:00 PM,032XX W VAN BUREN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,Y,N,1134,28,15,1154664,1897840,41.875490759999998,-87.707599363000000,"(41.87549076, -87.707599363)"
JC147168,02/10/2019 12:40:00 PM,026XX W 19TH ST,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),N,N,1023,24,03,1159021,1890619,41.855587333999999,-87.691800213999997,"(41.855587334, -87.691800214)"
JC148700,02/10/2019 01:00:00 PM,029XX W FILLMORE ST,0610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,N,N,1135,28,05,1156754,1895231,41.868289331000000,-87.699996334000005,"(41.868289331, -87.699996334)"
JC147229,02/10/2019 01:01:00 PM,013XX S CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1011,24,18,1152596,1893179,41.862741577999998,-87.715315520000004,"(41.862741578, -87.71531552)"
JC147234,02/10/2019 01:19:00 PM,031XX W MAYPOLE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),Y,N,1222,27,18,1155186,1900781,41.883550702000001,-87.705603789999998,"(41.883550702, -87.70560379)"
JC147288,02/10/2019 01:37:00 PM,039XX W ROOSEVELT RD,5011,OTHER OFFENSE,LICENSE VIOLATION,SIDEWALK,Y,N,1132,24,26,1150448,1894424,41.866200165000002,-87.723168161999993,"(41.866200165, -87.723168162)"
JC148098,02/10/2019 01:51:00 PM,0000X E GRAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,DEPARTMENT STORE,N,N,1834,42,11,1176796,1903917,41.891694878000003,-87.626155831999995,"(41.891694878, -87.626155832)"
JC147231,02/10/2019 01:53:00 PM,022XX S ALBANY AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,1033,12,04B,1156044,1888869,41.850845653999997,-87.702774433000002,"(41.850845654, -87.702774433)"
JC147252,02/10/2019 01:56:00 PM,0000X N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,Y,N,114,42,08B,1177304,1900668,41.882767948999998,-87.624388780000004,"(41.882767949, -87.62438878)"
JC147497,02/10/2019 02:00:00 PM,020XX S ARCHER AVE,0810,THEFT,OVER $500,STREET,N,N,914,25,06,1175658,1890479,41.854845830999999,-87.630739105000004,"(41.854845831, -87.630739105)"
JC148973,02/10/2019 02:00:00 PM,016XX W GRAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1215,1,07,1165412,1903562,41.890970582999998,-87.667973967999998,"(41.890970583, -87.667973968)"
JC147307,02/10/2019 02:00:00 PM,021XX S CHINA PL,0810,THEFT,OVER $500,STREET,N,N,914,25,06,1174658,1890185,41.854061467999998,-87.634418288000006,"(41.854061468, -87.634418288)"
JC147684,02/10/2019 02:15:00 PM,004XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1834,42,06,1177356,1903470,41.890455604000003,-87.624112800000006,"(41.890455604, -87.6241128)"
JC148318,02/10/2019 02:28:00 PM,009XX W MADISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,N,N,1224,25,08A,1170286,1900232,41.881727732999998,-87.650171646000004,"(41.881727733, -87.650171646)"
JC147311,02/10/2019 02:46:00 PM,008XX W FULTON MARKET,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESTAURANT,N,N,1214,27,26,1170545,1902074,41.886776644000001,-87.649166687999994,"(41.886776644, -87.649166688)"
JC147334,02/10/2019 02:50:00 PM,036XX W FRANKLIN BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,N,Y,1122,27,07,1152196,1903092,41.889951816000000,-87.716522372000000,"(41.889951816, -87.716522372)"
JC147439,02/10/2019 03:00:00 PM,030XX W MADISON ST,0810,THEFT,OVER $500,BARBERSHOP,N,N,1124,28,06,1156320,1899869,41.881025248000000,-87.701464294999994,"(41.881025248, -87.701464295)"
JC147440,02/10/2019 03:00:00 PM,0000X W ILLINOIS ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1831,42,06,1176098,1903604,41.890851746999999,-87.628728678000002,"(41.890851747, -87.628728678)"
JC147519,02/10/2019 03:15:00 PM,018XX W MAYPOLE AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,STREET,N,N,1223,27,08A,1164217,1901072,41.884163170000001,-87.672433029000004,"(41.88416317, -87.672433029)"
JC147516,02/10/2019 03:30:00 PM,011XX S DELANO CT W,0860,THEFT,RETAIL THEFT,OTHER,N,N,123,25,06,1175107,1895281,41.868035204999998,-87.632617642000000,"(41.868035205, -87.632617642)"
JC147473,02/10/2019 03:30:00 PM,022XX S WABASH AVE,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,131,3,06,1177095,1889603,41.852409639999998,-87.625491255000000,"(41.85240964, -87.625491255)"
JC147479,02/10/2019 04:00:00 PM,030XX W LEXINGTON ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VACANT LOT/LAND,Y,N,1134,28,18,1156201,1896545,41.871906260999999,-87.701991038000003,"(41.871906261, -87.701991038)"
JC147430,02/10/2019 04:03:00 PM,022XX S SAWYER AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1024,12,24,1155044,1888885,41.850909651000002,-87.706444227999995,"(41.850909651, -87.706444228)"
JC147567,02/10/2019 04:04:00 PM,011XX W JACKSON BLVD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1232,25,06,1168933,1898798,41.877822178999999,-87.655181404999993,"(41.877822179, -87.655181405)"
JC147481,02/10/2019 04:07:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112,42,06,1176364,1900524,41.882394062000003,-87.627844797999998,"(41.882394062, -87.627844798)"
JC147468,02/10/2019 04:30:00 PM,004XX N MORGAN ST,0810,THEFT,OVER $500,STREET,N,N,1214,27,06,1169701,1902952,41.889204358999997,-87.652240466999999,"(41.889204359, -87.652240467)"
JC148416,02/10/2019 04:30:00 PM,001XX N LEAVITT ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,1223,27,24,1161719,1901089,41.884262243999999,-87.681605486999999,"(41.884262244, -87.681605487)"
JC147538,02/10/2019 04:50:00 PM,026XX W ADAMS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1125,27,14,1158810,1898926,41.878386896000002,-87.692347018999996,"(41.878386896, -87.692347019)"
JC147493,02/10/2019 05:00:00 PM,013XX S KEDZIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1022,24,18,1155238,1893719,41.864170798000004,-87.705602493000001,"(41.864170798, -87.705602493)"
JC148665,02/10/2019 05:14:00 PM,004XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1834,42,06,1177357,1903444,41.890384236000003,-87.624109916999998,"(41.890384236, -87.624109917)"
JC147522,02/10/2019 05:30:00 PM,006XX N PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,27,14,1170265,1904911,41.894567678999998,-87.650111960000004,"(41.894567679, -87.65011196)"
JC147547,02/10/2019 05:35:00 PM,023XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,1225,27,08B,1160870,1898642,41.877565107999999,-87.684791020000006,"(41.877565108, -87.68479102)"
JC147938,02/10/2019 06:00:00 PM,030XX W FLOURNOY ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,N,N,1134,28,11,1156142,1896876,41.872815750000001,-87.702198717000002,"(41.87281575, -87.702198717)"
JC148335,02/10/2019 06:00:00 PM,019XX S SAWYER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1022,24,06,1155001,1890358,41.854952591999997,-87.706562586999993,"(41.854952592, -87.706562587)"
JC147585,02/10/2019 06:05:00 PM,039XX W MADISON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),PARKING LOT/GARAGE(NON.RESID.),Y,N,1122,28,18,1150203,1899724,41.880748740999998,-87.723929446000000,"(41.880748741, -87.723929446)"
JC147569,02/10/2019 06:15:00 PM,005XX S PULASKI RD,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,Y,N,1132,24,26,1149812,1897228,41.873907045999999,-87.725430093000000,"(41.873907046, -87.725430093)"
JC147563,02/10/2019 06:15:00 PM,005XX S PULASKI RD,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,CTA STATION,Y,N,1132,24,11,1149812,1897228,41.873907045999999,-87.725430093000000,"(41.873907046, -87.725430093)"
JC147584,02/10/2019 06:23:00 PM,0000X S HOMAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,1123,28,15,1153726,1899670,41.880531185000002,-87.710994636999999,"(41.880531185, -87.710994637)"
JC147615,02/10/2019 06:44:00 PM,003XX S SACRAMENTO BLVD,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENCE,Y,N,1124,27,18,1156432,1898365,41.876895859999998,-87.701093720000003,"(41.87689586, -87.70109372)"
JC147612,02/10/2019 06:45:00 PM,016XX S CENTRAL PARK AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,1014,24,26,1152641,1891608,41.858429684000001,-87.715191849999997,"(41.858429684, -87.71519185)"
JC147587,02/10/2019 06:45:00 PM,002XX S STATE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,N,N,113,42,08B,1176417,1899156,41.878638995999999,-87.627691486000003,"(41.878638996, -87.627691486)"
JC148703,02/10/2019 07:00:00 PM,003XX N UNION AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1214,42,14,1171462,1902761,41.888641704999998,-87.645779032999997,"(41.888641705, -87.645779033)"
JC149356,02/10/2019 07:00:00 PM,0000X N STATE ST,0330,ROBBERY,AGGRAVATED,DEPARTMENT STORE,N,N,112,42,03,1176363,1900559,41.882490126000000,-87.627847414000001,"(41.882490126, -87.627847414)"
JC147609,02/10/2019 07:10:00 PM,015XX S CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA BUS,N,N,1021,24,14,1152621,1892306,41.860345471999999,-87.715246819000001,"(41.860345472, -87.715246819)"
JC147614,02/10/2019 07:19:00 PM,008XX W VAN BUREN ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1232,27,03,1171018,1898393,41.876665367999998,-87.647537739000001,"(41.876665368, -87.647537739)"
JC147653,02/10/2019 07:30:00 PM,040XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1132,28,08B,1149565,1897719,41.875259202999999,-87.726324218000002,"(41.875259203, -87.726324218)"
JC147620,02/10/2019 07:31:00 PM,022XX S SAWYER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,1024,12,08B,1155042,1888952,41.851093546000001,-87.706449773000003,"(41.851093546, -87.706449773)"
JC147638,02/10/2019 07:40:00 PM,0000X E MADISON ST,0810,THEFT,OVER $500,SIDEWALK,N,N,112,42,06,1176461,1900405,41.882065330000003,-87.627492211000003,"(41.88206533, -87.627492211)"
JC147654,02/10/2019 08:11:00 PM,011XX W JACKSON BLVD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1232,25,06,1168933,1898798,41.877822178999999,-87.655181404999993,"(41.877822179, -87.655181405)"
JC148191,02/10/2019 08:15:00 PM,012XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,131,3,08B,1177419,1894900,41.866937616999998,-87.624141503999994,"(41.866937617, -87.624141504)"
JC147668,02/10/2019 08:18:00 PM,002XX W HURON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOSPITAL BUILDING/GROUNDS,N,N,1831,42,14,1174402,1905022,41.894780865000001,-87.634914778999999,"(41.894780865, -87.634914779)"
JC147658,02/10/2019 08:24:00 PM,036XX W ROOSEVELT RD,5011,OTHER OFFENSE,LICENSE VIOLATION,SIDEWALK,Y,N,1011,24,26,1152076,1894464,41.866278020999999,-87.717190539000001,"(41.866278021, -87.717190539)"
JC148594,02/10/2019 08:30:00 PM,034XX W 12TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1021,24,14,1153597,1894076,41.865183213999998,-87.711617094999994,"(41.865183214, -87.711617095)"
JC147674,02/10/2019 08:39:00 PM,030XX W ROOSEVELT RD,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,Y,N,1022,24,15,1156124,1894552,41.866438815000002,-87.702327525000001,"(41.866438815, -87.702327525)"
JC147673,02/10/2019 08:44:00 PM,036XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1133,24,18,1152475,1894470,41.866286617999997,-87.715725606999996,"(41.866286618, -87.715725607)"
JC149453,02/10/2019 09:00:00 PM,0000X W CERMAK RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,131,3,26,1176415,1889778,41.852905206999999,-87.627981751999997,"(41.852905207, -87.627981752)"
JC147734,02/10/2019 09:53:00 PM,014XX S HAMLIN AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,Y,N,1011,24,18,1151278,1892817,41.861774140999998,-87.720163275000004,"(41.861774141, -87.720163275)"
JC147763,02/10/2019 10:09:00 PM,025XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1034,28,05,1159771,1889314,41.851990866999998,-87.689083289999999,"(41.851990867, -87.68908329)"
JC149052,02/10/2019 10:30:00 PM,012XX S SPRINGFIELD AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,1011,24,04B,1150575,1894117,41.865355243000003,-87.722709946999998,"(41.865355243, -87.722709947)"
JC147749,02/10/2019 10:34:00 PM,0000X E ADAMS ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CONVENIENCE STORE,Y,N,113,42,08B,1176689,1899474,41.879505465000001,-87.626683154999995,"(41.879505465, -87.626683155)"
JC148242,02/10/2019 11:10:00 PM,001XX E CERMAK RD,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,N,N,132,3,08A,1177824,1889782,41.852884306999997,-87.622810204999993,"(41.852884307, -87.622810205)"
JC147767,02/10/2019 11:10:00 PM,023XX S SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1033,12,06,1156730,1888225,41.849064595000002,-87.700274086999997,"(41.849064595, -87.700274087)"
JC147788,02/10/2019 11:30:00 PM,002XX N JUSTINE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1215,27,06,1166114,1901647,41.885700712999999,-87.665450617999994,"(41.885700713, -87.665450618)"
