Address,City,State,Country
C Nàpols 42,Barcelona,Barcelona,Spain
C Marie Curie 20,Barcelona,Barcelona,Spain
Av J V Foix 55,Barcelona,Barcelona,Spain
C Corts 25,Barcelona,Barcelona,Spain
Av Cardenal Vidal Barraquer 47,Barcelona,Barcelona,Spain
C Guàrdia Urbana 2,Barcelona,Barcelona,Spain
