,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,Demographi,Demograp_1,Demograp_2,Demograp_3,Demograp_4,Demograp_5,Demograp_6,Demograp_7,Demograp_8,Demograp_9,Demograp10,Demograp11,Demograp12,Demograp13,Demograp14,Demograp15,Demograp16,Demograp17,Demograp18,Demograp19,Demograp20,Demograp21,Demograp22,Demograp23,Demograp24,Demograp25,Demograp26,Demograp27,Demograp28,Demograp29,Demograp30,Demograp31,Demograp32,Demograp33,Demograp34,Demograp35,Demograp36,Demograp37,Demograp38,Demograp39,Demograp40,Demograp41,Demograp42,Demograp43,Demograp44,n_assaults,n_subwayex,Demograp45,Demograp46,Demograp47,Demograp48,Demograp49,Demograp50,Demograp51,Demograp52,Demograp53,Demograp54,Demograp55,Demograp56,Demograp57,Demograp58,Demograp59,Demograp60,Demograp61,Demograp62,Demograp63,Demograp64,Demograp65,Demograp66,Demograp67,Demograp68,Demograp69,Demograp70,Demograp71,Demograp72,Demograp73,Demograp74,Demograp75,Demograp76,Demograp77,Demograp78,Demograp79,Demograp80,Demograp81,Demograp82,Demograp83,Demograp84,Demograp85,Demograp86,Demograp87,Demograp88,Demograp89,spp,app,geometry,w_subway,m4_e
10,10471,0,Bronx,23477.0,89651407.0583,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,43,24,0.56,19,0.44,0,0,43,100,0,0,27,0.63,0,0,1,0.02,2,0.05,12,0.28,1,0.02,0,0,43,100,2,0.05,41,0.95,0,0,0,0,43,100,17,0.4,26,0.6,0,0,43,100,1,3,43.0,24.0,0.56,19.0,0.44,0.0,0.0,43.0,100.0,0.0,0.0,27.0,0.63,0.0,0.0,1.0,0.02,2.0,0.05,12.0,0.28,1.0,0.02,0.0,0.0,43.0,100.0,2.0,0.05,41.0,0.95,0.0,0.0,0.0,0.0,43.0,100.0,17.0,0.4,26.0,0.6,0.0,0.0,43.0,100.0,0.000127784,4.2594e-05,<pysal.cg.shapes.Polygon object at 0x130e4ee10>,10.6666666667,-6.20479712903
11,10470,0,Bronx,14740.0,21543461.5814,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027137,0.000407055,<pysal.cg.shapes.Polygon object at 0x130e4ed10>,9.66666666667,0.734988224009
12,10466,0,Bronx,68942.0,55262490.6125,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,65,39,0.6,26,0.4,0,0,65,100,1,0.02,14,0.22,0,0,0,0,0,0,50,0.77,0,0,0,0,65,100,3,0.05,62,0.95,0,0,0,0,65,100,17,0.26,48,0.74,0,0,65,100,29,7,65.0,39.0,0.6,26.0,0.4,0.0,0.0,65.0,100.0,1.0,0.02,14.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.77,0.0,0.0,0.0,0.0,65.0,100.0,3.0,0.05,62.0,0.95,0.0,0.0,0.0,0.0,65.0,100.0,17.0,0.26,48.0,0.74,0.0,0.0,65.0,100.0,0.000101534,0.000420643,<pysal.cg.shapes.Polygon object at 0x130e4ed90>,7.0,7.4428028411
13,10467,0,Bronx,97932.0,69336166.3726,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,106,65,0.61,41,0.39,0,0,106,100,0,0,51,0.48,1,0.01,4,0.04,1,0.01,47,0.44,2,0.02,0,0,106,100,10,0.09,94,0.89,2,0.02,0,0,106,100,33,0.31,73,0.69,0,0,106,100,38,19,106.0,65.0,0.61,41.0,0.39,0.0,0.0,106.0,100.0,0.0,0.0,51.0,0.48,1.0,0.01,4.0,0.04,1.0,0.01,47.0,0.44,2.0,0.02,0.0,0.0,106.0,100.0,10.0,0.09,94.0,0.89,2.0,0.02,0.0,0.0,106.0,100.0,33.0,0.31,73.0,0.69,0.0,0.0,106.0,100.0,0.000194012,0.000388024,<pysal.cg.shapes.Polygon object at 0x130e4e650>,7.875,6.50686150614
14,10463,0,Bronx,70641.0,36703381.5082,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,59,33,0.56,26,0.44,0,0,59,100,0,0,36,0.61,0,0,0,0,2,0.03,18,0.31,3,0.05,0,0,59,100,3,0.05,54,0.92,2,0.03,0,0,59,100,20,0.34,39,0.66,0,0,59,100,7,9,59.0,33.0,0.56,26.0,0.44,0.0,0.0,59.0,100.0,0.0,0.0,36.0,0.61,0.0,0.0,0.0,0.0,2.0,0.03,18.0,0.31,3.0,0.05,0.0,0.0,59.0,100.0,3.0,0.05,54.0,0.92,2.0,0.03,0.0,0.0,59.0,100.0,20.0,0.34,39.0,0.66,0.0,0.0,59.0,100.0,0.000127404,9.9092e-05,<pysal.cg.shapes.Polygon object at 0x130e4ee90>,10.25,-15.05177038
15,10475,0,Bronx,40931.0,38633296.9345,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,20,12,0.6,8,0.4,0,0,20,100,0,0,7,0.35,0,0,0,0,1,0.05,12,0.6,0,0,0,0,20,100,2,0.1,18,0.9,0,0,0,0,20,100,8,0.4,12,0.6,0,0,20,100,9,0,20.0,12.0,0.6,8.0,0.4,0.0,0.0,20.0,100.0,0.0,0.0,7.0,0.35,0.0,0.0,0.0,0.0,1.0,0.05,12.0,0.6,0.0,0.0,0.0,0.0,20.0,100.0,2.0,0.1,18.0,0.9,0.0,0.0,0.0,0.0,20.0,100.0,8.0,0.4,12.0,0.6,0.0,0.0,20.0,100.0,0.0,0.000219882,<pysal.cg.shapes.Polygon object at 0x130e4ed50>,3.25,-3.19581884952
16,10464,0,Bronx,4438.0,76257484.8998,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,15,7,0.47,8,0.53,0,0,15,100,0,0,7,0.47,0,0,1,0.07,0,0,7,0.47,0,0,0,0,15,100,0,0,15,1,0,0,0,0,15,100,7,0.47,8,0.53,0,0,15,100,0,0,15.0,7.0,0.47,8.0,0.53,0.0,0.0,15.0,100.0,0.0,0.0,7.0,0.47,0.0,0.0,1.0,0.07,0.0,0.0,7.0,0.47,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,15.0,100.0,7.0,0.47,8.0,0.53,0.0,0.0,15.0,100.0,0.0,0.0,<pysal.cg.shapes.Polygon object at 0x130e4e490>,0.0,-1.01538885146
17,10469,0,Bronx,65101.0,68040887.0684,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,10,7,0.7,3,0.3,0,0,10,100,0,0,4,0.4,0,0,0,0,1,0.1,5,0.5,0,0,0,0,10,100,2,0.2,8,0.8,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100,26,5,10.0,7.0,0.7,3.0,0.3,0.0,0.0,10.0,100.0,0.0,0.0,4.0,0.4,0.0,0.0,0.0,0.0,1.0,0.1,5.0,0.5,0.0,0.0,0.0,0.0,10.0,100.0,2.0,0.2,8.0,0.8,0.0,0.0,0.0,0.0,10.0,100.0,4.0,0.4,6.0,0.6,0.0,0.0,10.0,100.0,7.6803e-05,0.000399379,<pysal.cg.shapes.Polygon object at 0x130e4e110>,9.25,5.71907984207
18,10468,0,Bronx,72877.0,34447604.6722,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,81,46,0.57,35,0.43,0,0,81,100,0,0,35,0.43,0,0,3,0.04,0,0,36,0.44,7,0.09,0,0,81,100,2,0.02,79,0.98,0,0,0,0,81,100,23,0.28,58,0.72,0,0,81,100,33,17,81.0,46.0,0.57,35.0,0.43,0.0,0.0,81.0,100.0,0.0,0.0,35.0,0.43,0.0,0.0,3.0,0.04,0.0,0.0,36.0,0.44,7.0,0.09,0.0,0.0,81.0,100.0,2.0,0.02,79.0,0.98,0.0,0.0,0.0,0.0,81.0,100.0,23.0,0.28,58.0,0.72,0.0,0.0,81.0,100.0,0.000233269,0.000452817,<pysal.cg.shapes.Polygon object at 0x130e4ef90>,10.4,8.97898517263
19,10463,0,Bronx,70641.0,3119701.91322,NY,New York,36,061,http://www.usps.com/,0.0,0.0,59,33,0.56,26,0.44,0,0,59,100,0,0,36,0.61,0,0,0,0,2,0.03,18,0.31,3,0.05,0,0,59,100,3,0.05,54,0.92,2,0.03,0,0,59,100,20,0.34,39,0.66,0,0,59,100,2,2,59.0,33.0,0.56,26.0,0.44,0.0,0.0,59.0,100.0,0.0,0.0,36.0,0.61,0.0,0.0,0.0,0.0,2.0,0.03,18.0,0.31,3.0,0.05,0.0,0.0,59.0,100.0,3.0,0.05,54.0,0.92,2.0,0.03,0.0,0.0,59.0,100.0,20.0,0.34,39.0,0.66,0.0,0.0,59.0,100.0,2.8312e-05,2.8312e-05,<pysal.cg.shapes.Polygon object at 0x130e4e590>,13.0,-19.189324431
20,10458,0,Bronx,79362.0,35968812.9034,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0,52,25,0.48,27,0.52,0,0,52,100,0,0,24,0.46,0,0,0,0,1,0.02,23,0.44,3,0.06,1,0.02,52,100,3,0.06,48,0.92,1,0.02,0,0,52,100,19,0.37,33,0.63,0,0,52,100,29,8,52.0,25.0,0.48,27.0,0.52,0.0,0.0,52.0,100.0,0.0,0.0,24.0,0.46,0.0,0.0,0.0,0.0,1.0,0.02,23.0,0.44,3.0,0.06,1.0,0.02,52.0,100.0,3.0,0.06,48.0,0.92,1.0,0.02,0.0,0.0,52.0,100.0,19.0,0.37,33.0,0.63,0.0,0.0,52.0,100.0,0.000100803,0.000365414,<pysal.cg.shapes.Polygon object at 0x130e64a90>,13.0,3.29321533224
21,10034,0,New York,39149.0,24503892.122,NY,New York,36,061,http://www.usps.com/,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000459781,0.000510868,<pysal.cg.shapes.Polygon object at 0x130e64e90>,11.5,6.89381162043
22,10033,0,New York,54284.0,16156054.1719,NY,New York,36,061,http://www.usps.com/,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000257902,0.000202638,<pysal.cg.shapes.Polygon object at 0x12c71a9d0>,15.6666666667,-6.56236077703
